enum,key,descr,Country,code,addr,city
JP_RYB,enum_bank_jp_ryb,"BANK OF THE RYUKYUS , LTD.",Country.JP,0187,,
JP_OKNWB,enum_bank_jp_oknwb,"THE BANK OF OKINAWA , LTD.",Country.JP,0188,,
JP_NSNPB,enum_bank_jp_nsnpb,"THE NISHI-NIPPON CITY BANK , LTD.",Country.JP,0190,,
JP_KTKSB,enum_bank_jp_ktksb,"THE KITAKYUSHU BANK , LTD.",Country.JP,0191,,
JP_SMBCB,enum_bank_jp_smbcb,SMBC TRUST BANK,Country.JP,0300,,
JP_AZRB,enum_bank_jp_azrb,"AOZORA BANK,LTD.",Country.JP,0398,,
JP_NPCFB,enum_bank_jp_npcfb,"NORTH PACIFIC BANK , LTD.",Country.JP,0501,,
JP_KRYKB,enum_bank_jp_krykb,"KIRAYAKA BANK , LTD.",Country.JP,0508,,
JP_KTNPB,enum_bank_jp_ktnpb,"THE KITA-NIPPON BANK , LTD.",Country.JP,0509,,
JP_SDB,enum_bank_jp_sdb,"THE SENDAI BANK , LTD.",Country.JP,0512,,
JP_FKSMB,enum_bank_jp_fksmb,"THE FUKUSHIMA BANK , LTD.",Country.JP,0513,,
JP_DTB,enum_bank_jp_dtb,"THE DAITO BANK , LTD.",Country.JP,0514,,
JP_TWB,enum_bank_jp_twb,"THE TOWA BANK , LTD.",Country.JP,0516,,
JP_TCGB,enum_bank_jp_tcgb,"THE TOCHIGI BANK , LTD.",Country.JP,0517,,
JP_KEIYOB,enum_bank_jp_keiyob,"THE KEIYO BANK , LTD.",Country.JP,0522,,
JP_HGSNPB,enum_bank_jp_hgsnpb,"THE HIGASHI-NIPPON BANK , LTD.",Country.JP,0525,,
JP_TKSB,enum_bank_jp_tksb,"THE TOKYO STAR BANK , LTD.",Country.JP,0526,,
JP_KNGWB,enum_bank_jp_kngwb,"THE KANAGAWA BANK , LTD.",Country.JP,0530,,
JP_TKB,enum_bank_jp_tkb,"THE TAIKO BANK , LTD.",Country.JP,0532,,
JP_NGNB,enum_bank_jp_ngnb,"THE NAGANO BANK , LTD.",Country.JP,0533,,
JP_FBOT,enum_bank_jp_fbot,"THE FIRST BANK OF TOYAMA , LTD.",Country.JP,0534,,
JP_FKHB,enum_bank_jp_fkhb,"THE FUKUHO BANK , LTD.",Country.JP,0537,,
JP_SZKCB,enum_bank_jp_szkcb,"THE SHIZUOKACHUO BANK , LTD.",Country.JP,0538,,
JP_ACB,enum_bank_jp_acb,"THE AICHI BANK , LTD.",Country.JP,0542,,
JP_BONGY,enum_bank_jp_bongy,"THE BANK OF NAGOYA , LTD.",Country.JP,0543,,
JP_CKYB,enum_bank_jp_ckyb,"THE CHUKYO BANK , LTD.",Country.JP,0544,,
JP_DASB,enum_bank_jp_dasb,"THE DAISAN BANK , LTD.",Country.JP,0546,,
JP_KSIB,enum_bank_jp_ksib,KANSAI URBAN BANKING CORPORATION,Country.JP,0554,,
JP_TISB,enum_bank_jp_tisb,"THE TAISHO BANK , LTD.",Country.JP,0555,,
JP_MNTB,enum_bank_jp_mntb,"THE MINATO BANK , LTD.",Country.JP,0562,,
JP_SMNB,enum_bank_jp_smnb,"THE SHIMANE BANK , LTD.",Country.JP,0565,,
JP_TMTB,enum_bank_jp_tmtb,"TOMATO BANK , LTD.",Country.JP,0566,,
JP_MMJB,enum_bank_jp_mmjb,"MOMIJI BANK , LTD.",Country.JP,0569,,
JP_SIKB,enum_bank_jp_sikb,"THE SAIKYO BANK , LTD.",Country.JP,0570,,
JP_TKSMB,enum_bank_jp_tksmb,"THE TOKUSHIMA BANK , LTD.",Country.JP,0572,,
JP_KGWB,enum_bank_jp_kgwb,"THE KAGAWA BANK , LTD.",Country.JP,0573,,
JP_EIMB,enum_bank_jp_eimb,"THE EHIME BANK , LTD.",Country.JP,0576,,
JP_BOKC,enum_bank_jp_bokc,"THE BANK OF KOCHI , LTD.",Country.JP,0578,,
JP_COB,enum_bank_jp_cob,"THE FUKUOKA CHUO BANK , LTD.",Country.JP,0582,,
JP_SGKEB,enum_bank_jp_sgkeb,"THE SAGA KYOEI BANK , LTD.",Country.JP,0583,,
JP_BONGS,enum_bank_jp_bongs,"THE BANK OF NAGASAKI , LTD.",Country.JP,0585,,
JP_KMMTB,enum_bank_jp_kmmtb,"THE KUMAMOTO BANK , LTD.",Country.JP,0587,,
JP_HOWAB,enum_bank_jp_howab,"THE HOWA BANK , LTD.",Country.JP,0590,,
JP_MYZKTB,enum_bank_jp_myzktb,"THE MIYAZAKI TAIYO BANK , LTD.",Country.JP,0591,,
JP_MNMNPB,enum_bank_jp_mnmnpb,"THE MINAMI-NIPPON BANK , LTD.",Country.JP,0594,,
JP_OKNWKB,enum_bank_jp_oknwkb,"THE OKINAWA KAIHO BANK , LTD.",Country.JP,0596,,
JP_YCYB,enum_bank_jp_ycyb,"THE YACHIYO BANK , LTD.",Country.JP,0597,,
JP_JPB,enum_bank_jp_jpb,"JAPAN POST BANK CO, LTD",Country.JP,9900,,
